source,source_url,collected_at,target_champion_name,target_champion_slug,position,page_role_hint,section,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games,gd15
u.gg,https://u.gg/lol/champions/jhin/counter,2026-06-06T10:25:54.193123+00:00,Jhin,jhin,BOTTOM,,win_rate_counter,1,Seraphine,seraphine,54.81,1352,
u.gg,https://u.gg/lol/champions/jhin/counter,2026-06-06T10:25:54.193123+00:00,Jhin,jhin,BOTTOM,,win_rate_counter,2,Yasuo,yasuo,54.6,1075,
u.gg,https://u.gg/lol/champions/jhin/counter,2026-06-06T10:25:54.193123+00:00,Jhin,jhin,BOTTOM,,win_rate_counter,3,Swain,swain,53.89,1273,
u.gg,https://u.gg/lol/champions/jhin/counter,2026-06-06T10:25:54.193123+00:00,Jhin,jhin,BOTTOM,,win_rate_counter,4,Twitch,twitch,52.73,4864,
u.gg,https://u.gg/lol/champions/jhin/counter,2026-06-06T10:25:54.193123+00:00,Jhin,jhin,BOTTOM,,win_rate_counter,5,Kalista,kalista,52.17,1359,
u.gg,https://u.gg/lol/champions/jhin/counter,2026-06-06T10:25:54.193123+00:00,Jhin,jhin,BOTTOM,,gd15_counter,1,Draven,draven,,4237,696
u.gg,https://u.gg/lol/champions/jhin/counter,2026-06-06T10:25:54.193123+00:00,Jhin,jhin,BOTTOM,,gd15_counter,2,Samira,samira,,4374,367
u.gg,https://u.gg/lol/champions/jhin/counter,2026-06-06T10:25:54.193123+00:00,Jhin,jhin,BOTTOM,,gd15_counter,3,Yasuo,yasuo,,1075,325
u.gg,https://u.gg/lol/champions/jhin/counter,2026-06-06T10:25:54.193123+00:00,Jhin,jhin,BOTTOM,,gd15_counter,4,Mel,mel,,1357,321
u.gg,https://u.gg/lol/champions/jhin/counter,2026-06-06T10:25:54.193123+00:00,Jhin,jhin,BOTTOM,,gd15_counter,5,Kalista,kalista,,1359,287
u.gg,https://u.gg/lol/champions/lucian/counter,2026-06-06T10:25:56.155933+00:00,Lucian,lucian,BOTTOM,,win_rate_counter,1,Swain,swain,55.12,722,
u.gg,https://u.gg/lol/champions/lucian/counter,2026-06-06T10:25:56.155933+00:00,Lucian,lucian,BOTTOM,,win_rate_counter,2,Brand,brand,54.73,1862,
u.gg,https://u.gg/lol/champions/lucian/counter,2026-06-06T10:25:56.155933+00:00,Lucian,lucian,BOTTOM,,win_rate_counter,3,Seraphine,seraphine,54.49,712,
u.gg,https://u.gg/lol/champions/lucian/counter,2026-06-06T10:25:56.155933+00:00,Lucian,lucian,BOTTOM,,win_rate_counter,4,Senna,senna,54.12,3326,
u.gg,https://u.gg/lol/champions/lucian/counter,2026-06-06T10:25:56.155933+00:00,Lucian,lucian,BOTTOM,,win_rate_counter,5,KogMaw,kogmaw,53.05,918,
u.gg,https://u.gg/lol/champions/lucian/counter,2026-06-06T10:25:56.155933+00:00,Lucian,lucian,BOTTOM,,gd15_counter,1,Draven,draven,,2333,706
u.gg,https://u.gg/lol/champions/lucian/counter,2026-06-06T10:25:56.155933+00:00,Lucian,lucian,BOTTOM,,gd15_counter,2,Mel,mel,,763,237
u.gg,https://u.gg/lol/champions/lucian/counter,2026-06-06T10:25:56.155933+00:00,Lucian,lucian,BOTTOM,,gd15_counter,3,Samira,samira,,2850,65
u.gg,https://u.gg/lol/champions/lucian/counter,2026-06-06T10:25:56.155933+00:00,Lucian,lucian,BOTTOM,,gd15_counter,4,Kalista,kalista,,914,65
u.gg,https://u.gg/lol/champions/lucian/counter,2026-06-06T10:25:56.155933+00:00,Lucian,lucian,BOTTOM,,gd15_counter,5,Caitlyn,caitlyn,,9549,-27
u.gg,https://u.gg/lol/champions/karma/counter,2026-06-06T10:25:59.087093+00:00,Karma,karma,UTILITY,,win_rate_counter,1,Maokai,maokai,53.93,801,
u.gg,https://u.gg/lol/champions/karma/counter,2026-06-06T10:25:59.087093+00:00,Karma,karma,UTILITY,,win_rate_counter,2,Rell,rell,53.44,1991,
u.gg,https://u.gg/lol/champions/karma/counter,2026-06-06T10:25:59.087093+00:00,Karma,karma,UTILITY,,win_rate_counter,3,Thresh,thresh,53.41,7448,
u.gg,https://u.gg/lol/champions/karma/counter,2026-06-06T10:25:59.087093+00:00,Karma,karma,UTILITY,,win_rate_counter,4,Sona,sona,53.28,1740,
u.gg,https://u.gg/lol/champions/karma/counter,2026-06-06T10:25:59.087093+00:00,Karma,karma,UTILITY,,win_rate_counter,5,Blitzcrank,blitzcrank,53.22,2668,
u.gg,https://u.gg/lol/champions/karma/counter,2026-06-06T10:25:59.087093+00:00,Karma,karma,UTILITY,,gd15_counter,1,Camille,camille,,630,505
u.gg,https://u.gg/lol/champions/karma/counter,2026-06-06T10:25:59.087093+00:00,Karma,karma,UTILITY,,gd15_counter,2,Zoe,zoe,,555,484
u.gg,https://u.gg/lol/champions/karma/counter,2026-06-06T10:25:59.087093+00:00,Karma,karma,UTILITY,,gd15_counter,3,Pantheon,pantheon,,1567,431
u.gg,https://u.gg/lol/champions/karma/counter,2026-06-06T10:25:59.087093+00:00,Karma,karma,UTILITY,,gd15_counter,4,Mel,mel,,1003,422
u.gg,https://u.gg/lol/champions/karma/counter,2026-06-06T10:25:59.087093+00:00,Karma,karma,UTILITY,,gd15_counter,5,Pyke,pyke,,3367,395
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,,win_rate_counter,1,Naafiri,naafiri,52.64,1647,
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,,win_rate_counter,2,Zed,zed,52.54,5196,
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,,win_rate_counter,3,Vladimir,vladimir,51.75,3656,
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,,win_rate_counter,4,Lux,lux,51.54,3473,
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,,win_rate_counter,5,Akshan,akshan,51.39,2012,
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,,gd15_counter,1,Mel,mel,,3638,800
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,,gd15_counter,2,Irelia,irelia,,1531,720
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,,gd15_counter,3,Zed,zed,,5196,510
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,,gd15_counter,4,Naafiri,naafiri,,1647,503
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,,gd15_counter,5,Qiyana,qiyana,,1628,490
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,,win_rate_counter,1,Seraphine,seraphine,53.33,1187,
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,,win_rate_counter,2,Brand,brand,51.91,2753,
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,,win_rate_counter,3,Senna,senna,51.63,5638,
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,,win_rate_counter,4,Twitch,twitch,51.52,5109,
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,,win_rate_counter,5,Swain,swain,51.41,1132,
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,,gd15_counter,1,Draven,draven,,3507,1090
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,,gd15_counter,2,Mel,mel,,1025,717
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,,gd15_counter,3,Kalista,kalista,,1198,500
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,,gd15_counter,4,Varus,varus,,4301,475
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,,gd15_counter,5,Samira,samira,,4266,435
u.gg,https://u.gg/lol/champions/lulu/counter,2026-06-06T10:26:06.154718+00:00,Lulu,lulu,UTILITY,,win_rate_counter,1,Thresh,thresh,53.93,8272,
u.gg,https://u.gg/lol/champions/lulu/counter,2026-06-06T10:26:06.154718+00:00,Lulu,lulu,UTILITY,,win_rate_counter,2,Senna,senna,52.95,4667,
