champion_id,champion_name,position,feature_version,pick_count,win_count,surrender_loss_count,position_share,is_primary_position,created_at
134,Syndra,UTILITY,v2_timeseries_7_15,6,2,2,0.061224,False,2026-06-05T14:02:39+00:00
223,TahmKench,TOP,v2_timeseries_7_15,16,4,4,0.380952,False,2026-06-05T14:02:39+00:00
223,TahmKench,UTILITY,v2_timeseries_7_15,26,15,6,0.619048,True,2026-06-05T14:02:39+00:00
163,Taliyah,JUNGLE,v2_timeseries_7_15,37,21,7,0.37,False,2026-06-05T14:02:39+00:00
163,Taliyah,MIDDLE,v2_timeseries_7_15,62,34,11,0.62,True,2026-06-05T14:02:39+00:00
163,Taliyah,UTILITY,v2_timeseries_7_15,1,0,0,0.01,False,2026-06-05T14:02:39+00:00
91,Talon,JUNGLE,v2_timeseries_7_15,90,44,12,0.436893,False,2026-06-05T14:02:39+00:00
91,Talon,MIDDLE,v2_timeseries_7_15,114,57,15,0.553398,True,2026-06-05T14:02:39+00:00
91,Talon,TOP,v2_timeseries_7_15,2,1,0,0.009709,False,2026-06-05T14:02:39+00:00
44,Taric,TOP,v2_timeseries_7_15,1,1,0,0.04,False,2026-06-05T14:02:39+00:00
44,Taric,UTILITY,v2_timeseries_7_15,24,12,3,0.96,True,2026-06-05T14:02:39+00:00
17,Teemo,BOTTOM,v2_timeseries_7_15,3,1,1,0.052632,False,2026-06-05T14:02:39+00:00
17,Teemo,JUNGLE,v2_timeseries_7_15,7,3,1,0.122807,False,2026-06-05T14:02:39+00:00
17,Teemo,MIDDLE,v2_timeseries_7_15,1,0,1,0.017544,False,2026-06-05T14:02:39+00:00
17,Teemo,TOP,v2_timeseries_7_15,43,18,6,0.754386,True,2026-06-05T14:02:39+00:00
17,Teemo,UTILITY,v2_timeseries_7_15,3,2,0,0.052632,False,2026-06-05T14:02:39+00:00
412,Thresh,UTILITY,v2_timeseries_7_15,315,166,43,1.0,True,2026-06-05T14:02:39+00:00
18,Tristana,BOTTOM,v2_timeseries_7_15,81,47,5,0.861702,True,2026-06-05T14:02:39+00:00
18,Tristana,MIDDLE,v2_timeseries_7_15,12,8,1,0.12766,False,2026-06-05T14:02:39+00:00
18,Tristana,TOP,v2_timeseries_7_15,1,0,1,0.010638,False,2026-06-05T14:02:39+00:00
48,Trundle,JUNGLE,v2_timeseries_7_15,13,5,2,0.325,False,2026-06-05T14:02:39+00:00
48,Trundle,TOP,v2_timeseries_7_15,24,16,2,0.6,True,2026-06-05T14:02:39+00:00
48,Trundle,UTILITY,v2_timeseries_7_15,3,0,0,0.075,False,2026-06-05T14:02:39+00:00
23,Tryndamere,JUNGLE,v2_timeseries_7_15,1,1,0,0.013333,False,2026-06-05T14:02:39+00:00
23,Tryndamere,MIDDLE,v2_timeseries_7_15,10,7,1,0.133333,False,2026-06-05T14:02:39+00:00
23,Tryndamere,TOP,v2_timeseries_7_15,63,30,15,0.84,True,2026-06-05T14:02:39+00:00
23,Tryndamere,UTILITY,v2_timeseries_7_15,1,0,0,0.013333,False,2026-06-05T14:02:39+00:00
4,TwistedFate,BOTTOM,v2_timeseries_7_15,1,1,0,0.004098,False,2026-06-05T14:02:39+00:00
4,TwistedFate,JUNGLE,v2_timeseries_7_15,1,0,1,0.004098,False,2026-06-05T14:02:39+00:00
4,TwistedFate,MIDDLE,v2_timeseries_7_15,237,136,35,0.971311,True,2026-06-05T14:02:39+00:00
4,TwistedFate,TOP,v2_timeseries_7_15,4,3,1,0.016393,False,2026-06-05T14:02:39+00:00
4,TwistedFate,UTILITY,v2_timeseries_7_15,1,1,0,0.004098,False,2026-06-05T14:02:39+00:00
29,Twitch,BOTTOM,v2_timeseries_7_15,30,14,4,0.6,True,2026-06-05T14:02:39+00:00
29,Twitch,JUNGLE,v2_timeseries_7_15,2,1,0,0.04,False,2026-06-05T14:02:39+00:00
29,Twitch,UTILITY,v2_timeseries_7_15,18,4,6,0.36,False,2026-06-05T14:02:39+00:00
77,Udyr,JUNGLE,v2_timeseries_7_15,7,1,2,0.304348,False,2026-06-05T14:02:39+00:00
