match_id,participant_id,team_id,position,feature_version,champion_id,champion_name,individual_position,lane,role,team_surrendered,win,queue_id,game_version,game_duration_sec,collected_at
KR_8143208777,1,100,TOP,v2_timeseries_7_15,893,Aurora,TOP,JUNGLE,NONE,False,True,420,16.6.756.931,1874,2026-06-05T14:02:39+00:00
KR_8143208777,2,100,JUNGLE,v2_timeseries_7_15,517,Sylas,JUNGLE,JUNGLE,NONE,False,True,420,16.6.756.931,1874,2026-06-05T14:02:39+00:00
KR_8143208777,3,100,MIDDLE,v2_timeseries_7_15,126,Jayce,MIDDLE,MIDDLE,SOLO,False,True,420,16.6.756.931,1874,2026-06-05T14:02:39+00:00
KR_8143208777,4,100,BOTTOM,v2_timeseries_7_15,81,Ezreal,BOTTOM,BOTTOM,CARRY,False,True,420,16.6.756.931,1874,2026-06-05T14:02:39+00:00
KR_8143208777,5,100,UTILITY,v2_timeseries_7_15,16,Soraka,UTILITY,BOTTOM,SUPPORT,False,True,420,16.6.756.931,1874,2026-06-05T14:02:39+00:00
KR_8143208777,6,200,TOP,v2_timeseries_7_15,58,Renekton,TOP,TOP,DUO,False,False,420,16.6.756.931,1874,2026-06-05T14:02:39+00:00
KR_8143208777,7,200,JUNGLE,v2_timeseries_7_15,9,FiddleSticks,JUNGLE,JUNGLE,NONE,False,False,420,16.6.756.931,1874,2026-06-05T14:02:39+00:00
KR_8143208777,8,200,MIDDLE,v2_timeseries_7_15,777,Yone,MIDDLE,TOP,DUO,False,False,420,16.6.756.931,1874,2026-06-05T14:02:39+00:00
KR_8143208777,9,200,BOTTOM,v2_timeseries_7_15,119,Draven,BOTTOM,BOTTOM,CARRY,False,False,420,16.6.756.931,1874,2026-06-05T14:02:39+00:00
KR_8143208777,10,200,UTILITY,v2_timeseries_7_15,43,Karma,UTILITY,BOTTOM,SUPPORT,False,False,420,16.6.756.931,1874,2026-06-05T14:02:39+00:00
KR_8143138138,1,100,TOP,v2_timeseries_7_15,80,Pantheon,TOP,JUNGLE,NONE,False,False,420,16.6.756.931,1732,2026-06-05T14:02:39+00:00
KR_8143138138,2,100,JUNGLE,v2_timeseries_7_15,28,Evelynn,JUNGLE,JUNGLE,NONE,False,False,420,16.6.756.931,1732,2026-06-05T14:02:39+00:00
KR_8143138138,3,100,MIDDLE,v2_timeseries_7_15,55,Katarina,MIDDLE,BOTTOM,CARRY,False,False,420,16.6.756.931,1732,2026-06-05T14:02:39+00:00
KR_8143138138,4,100,BOTTOM,v2_timeseries_7_15,67,Vayne,BOTTOM,MIDDLE,SOLO,False,False,420,16.6.756.931,1732,2026-06-05T14:02:39+00:00
KR_8143138138,5,100,UTILITY,v2_timeseries_7_15,412,Thresh,UTILITY,BOTTOM,SUPPORT,False,False,420,16.6.756.931,1732,2026-06-05T14:02:39+00:00
KR_8143138138,6,200,TOP,v2_timeseries_7_15,240,Kled,TOP,JUNGLE,NONE,False,True,420,16.6.756.931,1732,2026-06-05T14:02:39+00:00
KR_8143138138,7,200,JUNGLE,v2_timeseries_7_15,421,RekSai,JUNGLE,JUNGLE,NONE,False,True,420,16.6.756.931,1732,2026-06-05T14:02:39+00:00
KR_8143138138,8,200,MIDDLE,v2_timeseries_7_15,711,Vex,MIDDLE,MIDDLE,SOLO,False,True,420,16.6.756.931,1732,2026-06-05T14:02:39+00:00
