source,source_url,collected_at,target_champion_name,target_champion_slug,position,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games
u.gg,https://u.gg/lol/champions/ahri/counter,2026-06-06T10:26:02.227774+00:00,Ahri,ahri,MIDDLE,5,Akshan,akshan,51.39,2012
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,1,Seraphine,seraphine,53.33,1187
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,2,Brand,brand,51.91,2753
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,3,Senna,senna,51.63,5638
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,4,Twitch,twitch,51.52,5109
u.gg,https://u.gg/lol/champions/jinx/counter,2026-06-06T10:26:04.147633+00:00,Jinx,jinx,BOTTOM,5,Swain,swain,51.41,1132
u.gg,https://u.gg/lol/champions/lulu/counter,2026-06-06T10:26:06.154718+00:00,Lulu,lulu,UTILITY,1,Thresh,thresh,53.93,8272
u.gg,https://u.gg/lol/champions/lulu/counter,2026-06-06T10:26:06.154718+00:00,Lulu,lulu,UTILITY,2,Senna,senna,52.95,4667
u.gg,https://u.gg/lol/champions/lulu/counter,2026-06-06T10:26:06.154718+00:00,Lulu,lulu,UTILITY,3,Bard,bard,52.37,4482
u.gg,https://u.gg/lol/champions/lulu/counter,2026-06-06T10:26:06.154718+00:00,Lulu,lulu,UTILITY,4,Taric,taric,52.06,680
u.gg,https://u.gg/lol/champions/lulu/counter,2026-06-06T10:26:06.154718+00:00,Lulu,lulu,UTILITY,5,Rell,rell,52.04,2431
u.gg,https://u.gg/lol/champions/nautilus/counter,2026-06-06T10:26:08.315758+00:00,Nautilus,nautilus,UTILITY,1,Taric,taric,54.79,1285
u.gg,https://u.gg/lol/champions/nautilus/counter,2026-06-06T10:26:08.315758+00:00,Nautilus,nautilus,UTILITY,2,Rell,rell,54.56,3970
