match_id,participant_id,team_id,position,feature_version,champion_id,champion_name,individual_position,lane,role,team_surrendered,win,queue_id,game_version,game_duration_sec,collected_at
KR_8206673625,9,200,BOTTOM,v2_timeseries_7_15_16_9_only,22,Ashe,BOTTOM,BOTTOM,CARRY,False,True,420,16.9.772.8292,1254,2026-06-07T21:17:37+00:00
KR_8206673625,10,200,UTILITY,v2_timeseries_7_15_16_9_only,412,Thresh,UTILITY,BOTTOM,SUPPORT,False,True,420,16.9.772.8292,1254,2026-06-07T21:17:37+00:00
KR_8213689848,1,100,TOP,v2_timeseries_7_15_16_9_only,27,Singed,TOP,JUNGLE,NONE,False,False,420,16.9.772.8292,1537,2026-06-07T21:17:37+00:00
KR_8213689848,2,100,JUNGLE,v2_timeseries_7_15_16_9_only,254,Vi,JUNGLE,JUNGLE,NONE,False,False,420,16.9.772.8292,1537,2026-06-07T21:17:37+00:00
KR_8213689848,3,100,MIDDLE,v2_timeseries_7_15_16_9_only,90,Malzahar,MIDDLE,MIDDLE,SOLO,False,False,420,16.9.772.8292,1537,2026-06-07T21:17:37+00:00
KR_8213689848,4,100,BOTTOM,v2_timeseries_7_15_16_9_only,81,Ezreal,BOTTOM,BOTTOM,CARRY,False,False,420,16.9.772.8292,1537,2026-06-07T21:17:37+00:00
KR_8213689848,5,100,UTILITY,v2_timeseries_7_15_16_9_only,43,Karma,UTILITY,BOTTOM,SUPPORT,False,False,420,16.9.772.8292,1537,2026-06-07T21:17:37+00:00
KR_8213689848,6,200,TOP,v2_timeseries_7_15_16_9_only,24,Jax,TOP,JUNGLE,NONE,False,True,420,16.9.772.8292,1537,2026-06-07T21:17:37+00:00
KR_8213689848,7,200,JUNGLE,v2_timeseries_7_15_16_9_only,35,Shaco,JUNGLE,JUNGLE,NONE,False,True,420,16.9.772.8292,1537,2026-06-07T21:17:37+00:00
KR_8213689848,8,200,MIDDLE,v2_timeseries_7_15_16_9_only,127,Lissandra,MIDDLE,MIDDLE,SOLO,False,True,420,16.9.772.8292,1537,2026-06-07T21:17:37+00:00
KR_8213689848,9,200,BOTTOM,v2_timeseries_7_15_16_9_only,22,Ashe,BOTTOM,BOTTOM,CARRY,False,True,420,16.9.772.8292,1537,2026-06-07T21:17:37+00:00
KR_8213689848,10,200,UTILITY,v2_timeseries_7_15_16_9_only,147,Seraphine,UTILITY,BOTTOM,SUPPORT,False,True,420,16.9.772.8292,1537,2026-06-07T21:17:37+00:00
KR_8213606983,1,100,TOP,v2_timeseries_7_15_16_9_only,24,Jax,TOP,NONE,SUPPORT,True,False,420,16.9.772.8292,1016,2026-06-07T21:17:37+00:00
KR_8213606983,2,100,JUNGLE,v2_timeseries_7_15_16_9_only,421,RekSai,JUNGLE,NONE,SUPPORT,True,False,420,16.9.772.8292,1016,2026-06-07T21:17:37+00:00
KR_8213606983,3,100,MIDDLE,v2_timeseries_7_15_16_9_only,101,Xerath,MIDDLE,NONE,SUPPORT,True,False,420,16.9.772.8292,1016,2026-06-07T21:17:37+00:00
KR_8213606983,4,100,BOTTOM,v2_timeseries_7_15_16_9_only,901,Smolder,BOTTOM,NONE,SUPPORT,True,False,420,16.9.772.8292,1016,2026-06-07T21:17:37+00:00
KR_8213606983,5,100,UTILITY,v2_timeseries_7_15_16_9_only,267,Nami,UTILITY,NONE,SUPPORT,True,False,420,16.9.772.8292,1016,2026-06-07T21:17:37+00:00
KR_8213606983,6,200,TOP,v2_timeseries_7_15_16_9_only,68,Rumble,TOP,NONE,SUPPORT,False,True,420,16.9.772.8292,1016,2026-06-07T21:17:37+00:00
KR_8213606983,7,200,JUNGLE,v2_timeseries_7_15_16_9_only,950,Naafiri,JUNGLE,NONE,SUPPORT,False,True,420,16.9.772.8292,1016,2026-06-07T21:17:37+00:00
KR_8213606983,8,200,MIDDLE,v2_timeseries_7_15_16_9_only,236,Lucian,MIDDLE,NONE,SUPPORT,False,True,420,16.9.772.8292,1016,2026-06-07T21:17:37+00:00
KR_8213606983,9,200,BOTTOM,v2_timeseries_7_15_16_9_only,51,Caitlyn,BOTTOM,NONE,DUO,False,True,420,16.9.772.8292,1016,2026-06-07T21:17:37+00:00
KR_8213606983,10,200,UTILITY,v2_timeseries_7_15_16_9_only,432,Bard,UTILITY,NONE,SUPPORT,False,True,420,16.9.772.8292,1016,2026-06-07T21:17:37+00:00
KR_8213579303,1,100,TOP,v2_timeseries_7_15_16_9_only,164,Camille,TOP,NONE,SUPPORT,True,False,420,16.9.772.8292,988,2026-06-07T21:17:37+00:00
KR_8213579303,2,100,JUNGLE,v2_timeseries_7_15_16_9_only,517,Sylas,JUNGLE,NONE,SUPPORT,True,False,420,16.9.772.8292,988,2026-06-07T21:17:37+00:00
KR_8213579303,3,100,MIDDLE,v2_timeseries_7_15_16_9_only,20,Nunu,MIDDLE,NONE,SUPPORT,True,False,420,16.9.772.8292,988,2026-06-07T21:17:37+00:00
KR_8213579303,4,100,BOTTOM,v2_timeseries_7_15_16_9_only,22,Ashe,BOTTOM,NONE,DUO,True,False,420,16.9.772.8292,988,2026-06-07T21:17:37+00:00
KR_8213579303,5,100,UTILITY,v2_timeseries_7_15_16_9_only,147,Seraphine,UTILITY,NONE,SUPPORT,True,False,420,16.9.772.8292,988,2026-06-07T21:17:37+00:00
KR_8213579303,6,200,TOP,v2_timeseries_7_15_16_9_only,875,Sett,TOP,NONE,SUPPORT,False,True,420,16.9.772.8292,988,2026-06-07T21:17:37+00:00
KR_8213579303,7,200,JUNGLE,v2_timeseries_7_15_16_9_only,59,JarvanIV,JUNGLE,NONE,SUPPORT,False,True,420,16.9.772.8292,988,2026-06-07T21:17:37+00:00
KR_8213579303,8,200,MIDDLE,v2_timeseries_7_15_16_9_only,245,Ekko,MIDDLE,NONE,DUO,False,True,420,16.9.772.8292,988,2026-06-07T21:17:37+00:00
KR_8213579303,9,200,BOTTOM,v2_timeseries_7_15_16_9_only,236,Lucian,BOTTOM,NONE,SUPPORT,False,True,420,16.9.772.8292,988,2026-06-07T21:17:37+00:00
KR_8213579303,10,200,UTILITY,v2_timeseries_7_15_16_9_only,267,Nami,UTILITY,NONE,SUPPORT,False,True,420,16.9.772.8292,988,2026-06-07T21:17:37+00:00
KR_8212470201,1,100,TOP,v2_timeseries_7_15_16_9_only,107,Rengar,TOP,JUNGLE,NONE,False,True,420,16.9.772.8292,2480,2026-06-07T21:17:37+00:00
KR_8212470201,2,100,JUNGLE,v2_timeseries_7_15_16_9_only,35,Shaco,JUNGLE,JUNGLE,NONE,False,True,420,16.9.772.8292,2480,2026-06-07T21:17:37+00:00
KR_8212470201,3,100,MIDDLE,v2_timeseries_7_15_16_9_only,136,AurelionSol,MIDDLE,MIDDLE,SOLO,False,True,420,16.9.772.8292,2480,2026-06-07T21:17:37+00:00
KR_8212470201,4,100,BOTTOM,v2_timeseries_7_15_16_9_only,145,Kaisa,BOTTOM,BOTTOM,CARRY,False,True,420,16.9.772.8292,2480,2026-06-07T21:17:37+00:00
KR_8212470201,5,100,UTILITY,v2_timeseries_7_15_16_9_only,432,Bard,UTILITY,BOTTOM,SUPPORT,False,True,420,16.9.772.8292,2480,2026-06-07T21:17:37+00:00
KR_8212470201,6,200,TOP,v2_timeseries_7_15_16_9_only,887,Gwen,TOP,JUNGLE,NONE,True,False,420,16.9.772.8292,2480,2026-06-07T21:17:37+00:00
KR_8212470201,7,200,JUNGLE,v2_timeseries_7_15_16_9_only,126,Jayce,JUNGLE,JUNGLE,NONE,True,False,420,16.9.772.8292,2480,2026-06-07T21:17:37+00:00
KR_8212470201,8,200,MIDDLE,v2_timeseries_7_15_16_9_only,238,Zed,MIDDLE,MIDDLE,SOLO,True,False,420,16.9.772.8292,2480,2026-06-07T21:17:37+00:00
KR_8212470201,9,200,BOTTOM,v2_timeseries_7_15_16_9_only,202,Jhin,BOTTOM,BOTTOM,CARRY,True,False,420,16.9.772.8292,2480,2026-06-07T21:17:37+00:00
KR_8212470201,10,200,UTILITY,v2_timeseries_7_15_16_9_only,101,Xerath,UTILITY,BOTTOM,SUPPORT,True,False,420,16.9.772.8292,2480,2026-06-07T21:17:37+00:00
KR_8209798123,1,100,TOP,v2_timeseries_7_15_16_9_only,777,Yone,TOP,NONE,DUO,False,True,420,16.9.772.8292,931,2026-06-07T21:17:37+00:00
KR_8209798123,2,100,JUNGLE,v2_timeseries_7_15_16_9_only,80,Pantheon,JUNGLE,NONE,SUPPORT,False,True,420,16.9.772.8292,931,2026-06-07T21:17:37+00:00
KR_8209798123,3,100,MIDDLE,v2_timeseries_7_15_16_9_only,268,Azir,MIDDLE,NONE,SUPPORT,False,True,420,16.9.772.8292,931,2026-06-07T21:17:37+00:00
KR_8209798123,4,100,BOTTOM,v2_timeseries_7_15_16_9_only,22,Ashe,BOTTOM,NONE,SUPPORT,False,True,420,16.9.772.8292,931,2026-06-07T21:17:37+00:00
KR_8209798123,5,100,UTILITY,v2_timeseries_7_15_16_9_only,117,Lulu,UTILITY,NONE,SUPPORT,False,True,420,16.9.772.8292,931,2026-06-07T21:17:37+00:00
KR_8209798123,6,200,TOP,v2_timeseries_7_15_16_9_only,799,Ambessa,TOP,NONE,SUPPORT,True,False,420,16.9.772.8292,931,2026-06-07T21:17:37+00:00
KR_8209798123,7,200,JUNGLE,v2_timeseries_7_15_16_9_only,64,LeeSin,JUNGLE,NONE,SUPPORT,True,False,420,16.9.772.8292,931,2026-06-07T21:17:37+00:00
KR_8209798123,8,200,MIDDLE,v2_timeseries_7_15_16_9_only,103,Ahri,MIDDLE,NONE,SUPPORT,True,False,420,16.9.772.8292,931,2026-06-07T21:17:37+00:00
KR_8209798123,9,200,BOTTOM,v2_timeseries_7_15_16_9_only,498,Xayah,BOTTOM,NONE,DUO,True,False,420,16.9.772.8292,931,2026-06-07T21:17:37+00:00
KR_8209798123,10,200,UTILITY,v2_timeseries_7_15_16_9_only,497,Rakan,UTILITY,NONE,SUPPORT,True,False,420,16.9.772.8292,931,2026-06-07T21:17:37+00:00
KR_8209693251,1,100,TOP,v2_timeseries_7_15_16_9_only,150,Gnar,TOP,JUNGLE,NONE,False,True,420,16.9.772.8292,1958,2026-06-07T21:17:37+00:00
