match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8040724264,100,v1_15min,False,420,16.1.737.4870,2335,2026-05-14T19:59:29+00:00,-2190,-7,0,0,0,-72,-0.4,1,1,-12,-2
KR_8040724264,200,v1_15min,False,420,16.1.737.4870,2335,2026-05-14T19:59:29+00:00,2190,7,0,0,0,72,0.4,-1,-1,12,2
KR_8040697410,100,v1_15min,False,420,16.1.737.4870,1842,2026-05-14T19:59:29+00:00,-2273,-2,0,0,0,-6,-0.4,1,0,6,2
KR_8040697410,200,v1_15min,False,420,16.1.737.4870,1842,2026-05-14T19:59:29+00:00,2273,2,0,0,0,6,0.4,-1,0,-6,-2
KR_8040675162,100,v1_15min,False,420,16.1.737.4870,1987,2026-05-14T19:59:29+00:00,-187,4,-1,-1,0,-38,0.0,1,-1,6,1
KR_8040675162,200,v1_15min,False,420,16.1.737.4870,1987,2026-05-14T19:59:29+00:00,187,-4,1,1,0,38,0.0,-1,1,-6,-1
KR_8094908494,100,v1_15min,False,420,16.3.745.7600,1524,2026-05-14T19:59:29+00:00,-4505,-6,0,-2,0,-74,-0.8,-1,0,3,-3
KR_8094908494,200,v1_15min,False,420,16.3.745.7600,1524,2026-05-14T19:59:29+00:00,4505,6,0,2,0,74,0.8,1,0,-3,3
KR_8094574441,100,v1_15min,False,420,16.3.745.7600,2100,2026-05-14T19:59:29+00:00,1238,5,1,-2,0,-22,0.2,1,1,2,1
KR_8094574441,200,v1_15min,False,420,16.3.745.7600,2100,2026-05-14T19:59:29+00:00,-1238,-5,-1,2,0,22,-0.2,-1,-1,-2,-1
KR_8093550847,100,v1_15min,False,420,16.3.745.7600,1411,2026-05-14T19:59:29+00:00,-2179,-3,-1,-2,0,-35,-0.8,-1,-1,-1,-4
KR_8093550847,200,v1_15min,True,420,16.3.745.7600,1411,2026-05-14T19:59:29+00:00,2179,3,1,2,0,35,0.8,1,1,1,4
KR_8091563615,100,v1_15min,False,420,16.3.745.7600,1789,2026-05-14T19:59:29+00:00,-5563,-11,-3,0,0,-63,-0.6,1,-1,5,-1
KR_8091563615,200,v1_15min,False,420,16.3.745.7600,1789,2026-05-14T19:59:29+00:00,5563,11,3,0,0,63,0.6,-1,1,-5,1
KR_8091536642,100,v1_15min,False,420,16.3.745.7600,2311,2026-05-14T19:59:29+00:00,2061,1,1,-1,0,61,0.2,1,1,5,-3
KR_8091536642,200,v1_15min,False,420,16.3.745.7600,2311,2026-05-14T19:59:29+00:00,-2061,-1,-1,1,0,-61,-0.2,-1,-1,-5,3
KR_8088168321,100,v1_15min,False,420,16.3.745.7600,1542,2026-05-14T19:59:29+00:00,2229,4,2,2,0,30,0.0,1,1,2,3
KR_8088168321,200,v1_15min,False,420,16.3.745.7600,1542,2026-05-14T19:59:29+00:00,-2229,-4,-2,-2,0,-30,0.0,-1,-1,-2,-3
KR_8088092909,100,v1_15min,False,420,16.3.745.7600,1837,2026-05-14T19:59:29+00:00,-2286,-3,-1,0,0,-53,-0.4,-1,-1,-8,-2
KR_8088092909,200,v1_15min,False,420,16.3.745.7600,1837,2026-05-14T19:59:29+00:00,2286,3,1,0,0,53,0.4,1,1,8,2
KR_8087998034,100,v1_15min,False,420,16.3.745.7600,1975,2026-05-14T19:59:29+00:00,-3507,-6,-1,-1,0,-57,-0.4,-1,-1,3,-2
KR_8087998034,200,v1_15min,False,420,16.3.745.7600,1975,2026-05-14T19:59:29+00:00,3507,6,1,1,0,57,0.4,1,1,-3,2
KR_8085699851,100,v1_15min,False,420,16.3.745.7600,1898,2026-05-14T19:59:29+00:00,-3656,-3,-1,1,0,-26,-1.2,-1,-1,-7,6
KR_8085699851,200,v1_15min,False,420,16.3.745.7600,1898,2026-05-14T19:59:29+00:00,3656,3,1,-1,0,26,1.2,1,1,7,-6
KR_8085678856,100,v1_15min,False,420,16.3.745.7600,928,2026-05-14T19:59:29+00:00,5330,12,2,1,0,53,0.6,1,1,9,0
KR_8085678856,200,v1_15min,True,420,16.3.745.7600,928,2026-05-14T19:59:29+00:00,-5330,-12,-2,-1,0,-53,-0.6,-1,-1,-9,0
KR_8085607534,100,v1_15min,True,420,16.3.745.7600,1595,2026-05-14T19:59:29+00:00,-1116,-4,0,-1,0,17,0.0,1,0,2,-6
KR_8085607534,200,v1_15min,False,420,16.3.745.7600,1595,2026-05-14T19:59:29+00:00,1116,4,0,1,0,-17,0.0,-1,0,-2,6
KR_8085530144,100,v1_15min,False,420,16.3.745.7600,1893,2026-05-14T19:59:29+00:00,-2369,-8,0,-2,0,-9,-0.6,-1,1,-1,2
KR_8085530144,200,v1_15min,False,420,16.3.745.7600,1893,2026-05-14T19:59:29+00:00,2369,8,0,2,0,9,0.6,1,-1,1,-2
KR_8085505553,100,v1_15min,True,420,16.3.745.7600,2030,2026-05-14T19:59:29+00:00,-1626,-2,0,0,0,-52,-0.4,1,0,-4,4
KR_8085505553,200,v1_15min,False,420,16.3.745.7600,2030,2026-05-14T19:59:29+00:00,1626,2,0,0,0,52,0.4,-1,0,4,-4
KR_8084140474,100,v1_15min,False,420,16.3.745.7600,2145,2026-05-14T19:59:29+00:00,257,4,-1,2,0,21,0.6,1,-1,-5,-3
KR_8084140474,200,v1_15min,False,420,16.3.745.7600,2145,2026-05-14T19:59:29+00:00,-257,-4,1,-2,0,-21,-0.6,-1,1,5,3
