source,source_patch,source_url,collected_at,target_champion_name,target_champion_slug,position,page_role_hint,section,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games,gd15,target_win_rate,target_delta,target_delta_normalized,target_pick_rate,min_counter_games_used
lolalytics,16.9,https://lolalytics.com/lol/akshan/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akshan,akshan,MIDDLE,middle,win_rate_counter,4,Anivia,anivia,52.53,1363,,47.47,-0.73,-2.74,1.8,379
lolalytics,16.9,https://lolalytics.com/lol/akshan/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akshan,akshan,MIDDLE,middle,win_rate_counter,5,Yasuo,yasuo,52.39,2388,,47.61,-2.77,-4.78,3.15,379
lolalytics,16.9,https://lolalytics.com/lol/alistar/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Alistar,alistar,UTILITY,support,win_rate_counter,1,Janna,janna,55.13,1890,,44.87,-2.92,-4.17,2.05,462
lolalytics,16.9,https://lolalytics.com/lol/alistar/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Alistar,alistar,UTILITY,support,win_rate_counter,2,Zilean,zilean,54.74,1098,,45.26,-1.62,-2.87,1.19,462
lolalytics,16.9,https://lolalytics.com/lol/alistar/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Alistar,alistar,UTILITY,support,win_rate_counter,3,Senna,senna,54.49,2307,,45.51,-2.34,-3.59,2.5,462
lolalytics,16.9,https://lolalytics.com/lol/alistar/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Alistar,alistar,UTILITY,support,win_rate_counter,4,Soraka,soraka,53.56,1770,,46.44,-1.21,-2.46,1.92,462
lolalytics,16.9,https://lolalytics.com/lol/alistar/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Alistar,alistar,UTILITY,support,win_rate_counter,5,Swain,swain,53.33,1382,,46.67,-4.86,-6.11,1.5,462
lolalytics,16.9,https://lolalytics.com/lol/ambessa/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ambessa,ambessa,TOP,top,win_rate_counter,1,Tryndamere,tryndamere,59.16,1190,,40.84,-7.17,-5.4,1.54,386
lolalytics,16.9,https://lolalytics.com/lol/ambessa/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ambessa,ambessa,TOP,top,win_rate_counter,2,Camille,camille,57.7,1494,,42.3,-6.53,-4.75,1.93,386
lolalytics,16.9,https://lolalytics.com/lol/ambessa/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ambessa,ambessa,TOP,top,win_rate_counter,3,Poppy,poppy,57.32,663,,42.68,-6.07,-4.3,0.86,386
lolalytics,16.9,https://lolalytics.com/lol/ambessa/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ambessa,ambessa,TOP,top,win_rate_counter,4,Warwick,warwick,56.82,616,,43.18,-3.73,-1.97,0.8,386
lolalytics,16.9,https://lolalytics.com/lol/ambessa/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ambessa,ambessa,TOP,top,win_rate_counter,5,Teemo,teemo,56.57,1674,,43.43,-4.22,-2.45,2.17,386
lolalytics,16.9,https://lolalytics.com/lol/amumu/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Amumu,amumu,JUNGLE,jungle,win_rate_counter,1,Ivern,ivern,54.68,278,,45.32,-2.49,-4.5,0.54,257
lolalytics,16.9,https://lolalytics.com/lol/amumu/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Amumu,amumu,JUNGLE,jungle,win_rate_counter,2,Zed,zed,52.85,738,,47.15,-2.03,-4.04,1.43,257
