source,source_patch,source_url,collected_at,target_champion_name,target_champion_slug,position,page_role_hint,section,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games,gd15,target_win_rate,target_delta,target_delta_normalized,target_pick_rate,min_counter_games_used
lolalytics,16.9,https://lolalytics.com/lol/gnar/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gnar,gnar,TOP,top,win_rate_counter,1,Malphite,malphite,55.91,4994,,44.09,-3.72,-4.13,4.92,507
lolalytics,16.9,https://lolalytics.com/lol/gnar/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gnar,gnar,TOP,top,win_rate_counter,2,Pantheon,pantheon,54.55,1177,,45.45,-2.65,-3.06,1.16,507
lolalytics,16.9,https://lolalytics.com/lol/gnar/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gnar,gnar,TOP,top,win_rate_counter,3,Ornn,ornn,54.15,2613,,45.85,-2.24,-2.65,2.57,507
lolalytics,16.9,https://lolalytics.com/lol/gnar/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gnar,gnar,TOP,top,win_rate_counter,4,Olaf,olaf,53.74,1351,,46.26,-0.64,-1.05,1.33,507
lolalytics,16.9,https://lolalytics.com/lol/gnar/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gnar,gnar,TOP,top,win_rate_counter,5,Sylas,sylas,53.62,1617,,46.38,-2.71,-3.12,1.59,507
lolalytics,16.9,https://lolalytics.com/lol/gragas/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gragas,gragas,TOP,top,win_rate_counter,1,Kled,kled,56.14,513,,43.86,-3.97,-4.83,0.82,313
lolalytics,16.9,https://lolalytics.com/lol/gragas/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gragas,gragas,TOP,top,win_rate_counter,2,Olaf,olaf,55.86,922,,44.14,-2.76,-3.62,1.47,313
lolalytics,16.9,https://lolalytics.com/lol/gragas/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gragas,gragas,TOP,top,win_rate_counter,3,Singed,singed,54.43,779,,45.57,-1.24,-2.1,1.24,313
lolalytics,16.9,https://lolalytics.com/lol/gragas/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gragas,gragas,TOP,top,win_rate_counter,4,Warwick,warwick,54.15,386,,45.85,-1.06,-1.92,0.62,313
lolalytics,16.9,https://lolalytics.com/lol/gragas/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gragas,gragas,TOP,top,win_rate_counter,5,Yorick,yorick,53.86,1075,,46.14,-3.45,-4.31,1.72,313
lolalytics,16.9,https://lolalytics.com/lol/graves/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Graves,graves,JUNGLE,jungle,win_rate_counter,1,Zyra,zyra,53.54,2148,,46.46,-1.89,-3.44,0.71,1514
lolalytics,16.9,https://lolalytics.com/lol/graves/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Graves,graves,JUNGLE,jungle,win_rate_counter,2,FiddleSticks,fiddlesticks,53.18,3520,,46.82,-0.91,-2.46,1.16,1514
lolalytics,16.9,https://lolalytics.com/lol/graves/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Graves,graves,JUNGLE,jungle,win_rate_counter,3,Nidalee,nidalee,52.03,4938,,47.97,-1.5,-3.05,1.63,1514
lolalytics,16.9,https://lolalytics.com/lol/graves/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Graves,graves,JUNGLE,jungle,win_rate_counter,4,Naafiri,naafiri,51.96,11760,,48.04,-0.72,-2.27,3.88,1514
lolalytics,16.9,https://lolalytics.com/lol/graves/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Graves,graves,JUNGLE,jungle,win_rate_counter,5,Belveth,belveth,51.73,2807,,48.27,0.73,-0.82,0.93,1514
lolalytics,16.9,https://lolalytics.com/lol/gwen/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gwen,gwen,TOP,top,win_rate_counter,1,Singed,singed,56.24,898,,43.76,-3.05,-5.59,1.5,299
lolalytics,16.9,https://lolalytics.com/lol/gwen/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gwen,gwen,TOP,top,win_rate_counter,2,Warwick,warwick,55.62,516,,44.38,-2.53,-5.07,0.86,299
lolalytics,16.9,https://lolalytics.com/lol/gwen/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gwen,gwen,TOP,top,win_rate_counter,3,Vayne,vayne,54.73,740,,45.27,-4.13,-6.67,1.23,299
lolalytics,16.9,https://lolalytics.com/lol/gwen/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gwen,gwen,TOP,top,win_rate_counter,4,Tryndamere,tryndamere,54.08,919,,45.92,-2.09,-4.63,1.53,299
lolalytics,16.9,https://lolalytics.com/lol/gwen/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Gwen,gwen,TOP,top,win_rate_counter,5,Riven,riven,53.57,1077,,46.43,-2.35,-4.89,1.8,299
lolalytics,16.9,https://lolalytics.com/lol/hecarim/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Hecarim,hecarim,JUNGLE,jungle,win_rate_counter,1,Ivern,ivern,55.62,703,,44.38,-3.43,-3.58,0.73,480
lolalytics,16.9,https://lolalytics.com/lol/hecarim/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Hecarim,hecarim,JUNGLE,jungle,win_rate_counter,2,RekSai,reksai,55.58,1245,,44.42,-2.61,-2.76,1.29,480
lolalytics,16.9,https://lolalytics.com/lol/hecarim/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Hecarim,hecarim,JUNGLE,jungle,win_rate_counter,3,Shyvana,shyvana,54.14,3469,,45.86,-0.74,-0.89,3.61,480
lolalytics,16.9,https://lolalytics.com/lol/hecarim/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Hecarim,hecarim,JUNGLE,jungle,win_rate_counter,4,Sylas,sylas,54.12,3071,,45.88,-3.06,-3.21,3.19,480
lolalytics,16.9,https://lolalytics.com/lol/hecarim/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Hecarim,hecarim,JUNGLE,jungle,win_rate_counter,5,Jayce,jayce,53.54,536,,46.46,-4.65,-4.8,0.56,480
lolalytics,16.9,https://lolalytics.com/lol/heimerdinger/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Heimerdinger,heimerdinger,TOP,top,win_rate_counter,1,Kayle,kayle,56.23,377,,43.77,-3.01,-4.99,1.44,130
lolalytics,16.9,https://lolalytics.com/lol/heimerdinger/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Heimerdinger,heimerdinger,TOP,top,win_rate_counter,2,Yasuo,yasuo,55.32,564,,44.68,-5.52,-7.5,2.16,130
lolalytics,16.9,https://lolalytics.com/lol/heimerdinger/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Heimerdinger,heimerdinger,TOP,top,win_rate_counter,3,Ryze,ryze,55.31,226,,44.69,-5.45,-7.43,0.86,130
lolalytics,16.9,https://lolalytics.com/lol/heimerdinger/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Heimerdinger,heimerdinger,TOP,top,win_rate_counter,4,Malzahar,malzahar,54.91,224,,45.09,-4.99,-6.97,0.86,130
lolalytics,16.9,https://lolalytics.com/lol/heimerdinger/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Heimerdinger,heimerdinger,TOP,top,win_rate_counter,5,Vladimir,vladimir,54.48,268,,45.52,-2.43,-4.41,1.02,130
lolalytics,16.9,https://lolalytics.com/lol/hwei/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Hwei,hwei,MIDDLE,middle,win_rate_counter,1,Naafiri,naafiri,55.14,1732,,44.86,-1.1,-2.65,1.7,510
lolalytics,16.9,https://lolalytics.com/lol/hwei/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Hwei,hwei,MIDDLE,middle,win_rate_counter,2,Fizz,fizz,54.04,2106,,45.96,-1.84,-3.39,2.06,510
lolalytics,16.9,https://lolalytics.com/lol/hwei/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Hwei,hwei,MIDDLE,middle,win_rate_counter,3,Xerath,xerath,53.86,4421,,46.14,-0.79,-2.34,4.33,510
lolalytics,16.9,https://lolalytics.com/lol/hwei/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Hwei,hwei,MIDDLE,middle,win_rate_counter,4,Velkoz,velkoz,53.86,700,,46.14,-2.4,-3.95,0.69,510
lolalytics,16.9,https://lolalytics.com/lol/hwei/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Hwei,hwei,MIDDLE,middle,win_rate_counter,5,Katarina,katarina,53.41,3164,,46.59,-2.26,-3.81,3.1,510
lolalytics,16.9,https://lolalytics.com/lol/illaoi/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Illaoi,illaoi,TOP,top,win_rate_counter,1,Varus,varus,59.47,787,,40.53,-8.64,-10.28,1.42,278
lolalytics,16.9,https://lolalytics.com/lol/illaoi/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Illaoi,illaoi,TOP,top,win_rate_counter,2,Kayle,kayle,59.22,1020,,40.78,-6.0,-7.64,1.83,278
lolalytics,16.9,https://lolalytics.com/lol/illaoi/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Illaoi,illaoi,TOP,top,win_rate_counter,3,Singed,singed,56.99,737,,43.01,-3.8,-5.44,1.33,278
lolalytics,16.9,https://lolalytics.com/lol/illaoi/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Illaoi,illaoi,TOP,top,win_rate_counter,4,Gwen,gwen,54.9,683,,45.1,-3.27,-4.91,1.23,278
lolalytics,16.9,https://lolalytics.com/lol/illaoi/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Illaoi,illaoi,TOP,top,win_rate_counter,5,Vayne,vayne,53.78,1192,,46.22,-3.18,-4.82,2.14,278
lolalytics,16.9,https://lolalytics.com/lol/irelia/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Irelia,irelia,TOP,top,win_rate_counter,1,Warwick,warwick,56.67,900,,43.33,-3.58,-5.92,0.82,551
lolalytics,16.9,https://lolalytics.com/lol/irelia/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Irelia,irelia,TOP,top,win_rate_counter,2,Malphite,malphite,55.19,3856,,44.81,-3.0,-5.34,3.49,551
lolalytics,16.9,https://lolalytics.com/lol/irelia/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Irelia,irelia,TOP,top,win_rate_counter,3,Garen,garen,54.27,3943,,45.73,-2.05,-4.39,3.57,551
lolalytics,16.9,https://lolalytics.com/lol/irelia/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Irelia,irelia,TOP,top,win_rate_counter,4,Jax,jax,54.27,3842,,45.73,-3.65,-5.99,3.48,551
lolalytics,16.9,https://lolalytics.com/lol/irelia/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Irelia,irelia,TOP,top,win_rate_counter,5,Riven,riven,54.1,1843,,45.9,-2.88,-5.22,1.67,551
lolalytics,16.9,https://lolalytics.com/lol/ivern/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ivern,ivern,JUNGLE,jungle,win_rate_counter,1,Qiyana,qiyana,54.35,276,,45.65,-4.64,-7.74,0.87,158
lolalytics,16.9,https://lolalytics.com/lol/ivern/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ivern,ivern,JUNGLE,jungle,win_rate_counter,2,Zed,zed,53.86,453,,46.14,-3.04,-6.14,1.43,158
lolalytics,16.9,https://lolalytics.com/lol/ivern/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ivern,ivern,JUNGLE,jungle,win_rate_counter,3,Evelynn,evelynn,52.82,337,,47.18,-1.39,-4.49,1.06,158
lolalytics,16.9,https://lolalytics.com/lol/ivern/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ivern,ivern,JUNGLE,jungle,win_rate_counter,4,Naafiri,naafiri,52.35,1171,,47.65,-1.11,-4.21,3.69,158
lolalytics,16.9,https://lolalytics.com/lol/ivern/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ivern,ivern,JUNGLE,jungle,win_rate_counter,5,FiddleSticks,fiddlesticks,51.89,424,,48.11,0.38,-2.72,1.33,158
lolalytics,16.9,https://lolalytics.com/lol/janna/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Janna,janna,UTILITY,support,win_rate_counter,1,Sona,sona,51.7,2377,,48.3,1.12,-2.0,2.49,477
lolalytics,16.9,https://lolalytics.com/lol/janna/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Janna,janna,UTILITY,support,win_rate_counter,2,Elise,elise,51.49,536,,48.51,-0.35,-3.47,0.56,477
lolalytics,16.9,https://lolalytics.com/lol/janna/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Janna,janna,UTILITY,support,win_rate_counter,3,Senna,senna,50.55,3294,,49.45,1.6,-1.52,3.45,477
lolalytics,16.9,https://lolalytics.com/lol/janna/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Janna,janna,UTILITY,support,win_rate_counter,4,Blitzcrank,blitzcrank,50.18,2266,,49.82,1.22,-1.9,2.37,477
lolalytics,16.9,https://lolalytics.com/lol/janna/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Janna,janna,UTILITY,support,win_rate_counter,5,Zilean,zilean,50.15,1653,,49.85,2.97,-0.15,1.73,477
lolalytics,16.9,https://lolalytics.com/lol/jarvaniv/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,JarvanIV,jarvaniv,JUNGLE,jungle,win_rate_counter,1,RekSai,reksai,52.45,2328,,47.55,0.52,-0.89,1.2,969
lolalytics,16.9,https://lolalytics.com/lol/jarvaniv/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,JarvanIV,jarvaniv,JUNGLE,jungle,win_rate_counter,2,FiddleSticks,fiddlesticks,52.35,2254,,47.65,-0.08,-1.49,1.16,969
lolalytics,16.9,https://lolalytics.com/lol/jarvaniv/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,JarvanIV,jarvaniv,JUNGLE,jungle,win_rate_counter,3,MasterYi,masteryi,51.68,5935,,48.32,-0.13,-1.54,3.06,969
lolalytics,16.9,https://lolalytics.com/lol/jarvaniv/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,JarvanIV,jarvaniv,JUNGLE,jungle,win_rate_counter,4,Briar,briar,51.64,4144,,48.36,0.63,-0.78,2.14,969
lolalytics,16.9,https://lolalytics.com/lol/jarvaniv/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,JarvanIV,jarvaniv,JUNGLE,jungle,win_rate_counter,5,Shyvana,shyvana,51.63,5784,,48.37,1.77,0.36,2.98,969
lolalytics,16.9,https://lolalytics.com/lol/jax/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jax,jax,TOP,top,win_rate_counter,1,Singed,singed,57.58,1945,,42.42,-4.39,-5.92,1.41,690
lolalytics,16.9,https://lolalytics.com/lol/jax/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jax,jax,TOP,top,win_rate_counter,2,Vladimir,vladimir,56.85,1912,,43.15,-4.8,-6.33,1.38,690
lolalytics,16.9,https://lolalytics.com/lol/jax/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jax,jax,TOP,top,win_rate_counter,3,Garen,garen,55.17,8187,,44.83,-2.95,-4.48,5.93,690
lolalytics,16.9,https://lolalytics.com/lol/jax/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jax,jax,TOP,top,win_rate_counter,4,DrMundo,drmundo,54.47,2394,,45.53,-3.57,-5.1,1.73,690
lolalytics,16.9,https://lolalytics.com/lol/jax/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jax,jax,TOP,top,win_rate_counter,5,Kled,kled,53.85,1246,,46.15,-1.68,-3.21,0.9,690
lolalytics,16.9,https://lolalytics.com/lol/jayce/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jayce,jayce,TOP,top,win_rate_counter,1,Malphite,malphite,55.15,8194,,44.85,-2.96,-2.98,6.65,615
lolalytics,16.9,https://lolalytics.com/lol/jayce/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jayce,jayce,TOP,top,win_rate_counter,2,Olaf,olaf,54.81,1914,,45.19,-1.71,-1.73,1.55,615
lolalytics,16.9,https://lolalytics.com/lol/jayce/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jayce,jayce,TOP,top,win_rate_counter,3,Sion,sion,54.63,3837,,45.37,-3.79,-3.81,3.12,615
lolalytics,16.9,https://lolalytics.com/lol/jayce/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jayce,jayce,TOP,top,win_rate_counter,4,Kled,kled,54.3,825,,45.7,-2.13,-2.15,0.67,615
lolalytics,16.9,https://lolalytics.com/lol/jayce/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jayce,jayce,TOP,top,win_rate_counter,5,Irelia,irelia,54.17,4685,,45.83,-2.74,-2.76,3.8,615
lolalytics,16.9,https://lolalytics.com/lol/jhin/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jhin,jhin,BOTTOM,bottom,win_rate_counter,1,Smolder,smolder,52.94,42952,,47.06,2.21,1.17,10.57,2031
lolalytics,16.9,https://lolalytics.com/lol/jhin/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jhin,jhin,BOTTOM,bottom,win_rate_counter,2,Swain,swain,52.37,2345,,47.63,0.76,-0.28,0.58,2031
lolalytics,16.9,https://lolalytics.com/lol/jhin/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jhin,jhin,BOTTOM,bottom,win_rate_counter,3,Ziggs,ziggs,52.28,2988,,47.72,0.56,-0.48,0.74,2031
lolalytics,16.9,https://lolalytics.com/lol/jhin/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jhin,jhin,BOTTOM,bottom,win_rate_counter,4,Ashe,ashe,52.04,38679,,47.96,0.87,-0.17,9.52,2031
lolalytics,16.9,https://lolalytics.com/lol/jhin/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jhin,jhin,BOTTOM,bottom,win_rate_counter,5,Twitch,twitch,51.6,8682,,48.4,-0.34,-1.38,2.14,2031
lolalytics,16.9,https://lolalytics.com/lol/jinx/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jinx,jinx,BOTTOM,bottom,win_rate_counter,1,Brand,brand,51.34,3851,,48.66,3.12,0.0,1.31,1473
lolalytics,16.9,https://lolalytics.com/lol/jinx/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jinx,jinx,BOTTOM,bottom,win_rate_counter,2,Smolder,smolder,51.2,35007,,48.8,3.95,0.83,11.88,1473
lolalytics,16.9,https://lolalytics.com/lol/jinx/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jinx,jinx,BOTTOM,bottom,win_rate_counter,3,Ziggs,ziggs,49.92,1905,,50.08,2.92,-0.21,0.65,1473
lolalytics,16.9,https://lolalytics.com/lol/jinx/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jinx,jinx,BOTTOM,bottom,win_rate_counter,4,Twitch,twitch,49.72,8139,,50.28,1.54,-1.59,2.76,1473
lolalytics,16.9,https://lolalytics.com/lol/jinx/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Jinx,jinx,BOTTOM,bottom,win_rate_counter,5,Ashe,ashe,49.48,25561,,50.52,3.43,0.3,8.67,1473
lolalytics,16.9,https://lolalytics.com/lol/kaisa/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Kaisa,kaisa,BOTTOM,bottom,win_rate_counter,1,KogMaw,kogmaw,56.33,2727,,43.67,-3.86,-3.18,0.72,1889
lolalytics,16.9,https://lolalytics.com/lol/kaisa/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Kaisa,kaisa,BOTTOM,bottom,win_rate_counter,2,Smolder,smolder,56.2,36965,,43.8,-1.05,-0.38,9.78,1889
lolalytics,16.9,https://lolalytics.com/lol/kaisa/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Kaisa,kaisa,BOTTOM,bottom,win_rate_counter,3,Swain,swain,56.19,2463,,43.81,-3.06,-2.38,0.65,1889
lolalytics,16.9,https://lolalytics.com/lol/kaisa/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Kaisa,kaisa,BOTTOM,bottom,win_rate_counter,4,Brand,brand,55.69,4306,,44.31,-1.23,-0.56,1.14,1889
lolalytics,16.9,https://lolalytics.com/lol/kaisa/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Kaisa,kaisa,BOTTOM,bottom,win_rate_counter,5,Nilah,nilah,54.93,2476,,45.07,-2.25,-1.57,0.66,1889
lolalytics,16.9,https://lolalytics.com/lol/kalista/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Kalista,kalista,BOTTOM,bottom,win_rate_counter,1,Nilah,nilah,58.57,280,,41.43,-5.89,-5.66,0.79,178
lolalytics,16.9,https://lolalytics.com/lol/kalista/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Kalista,kalista,BOTTOM,bottom,win_rate_counter,2,Smolder,smolder,56.4,3672,,43.6,-1.25,-1.03,10.3,178
lolalytics,16.9,https://lolalytics.com/lol/kalista/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Kalista,kalista,BOTTOM,bottom,win_rate_counter,3,Brand,brand,55.66,442,,44.34,-1.2,-0.98,1.24,178
lolalytics,16.9,https://lolalytics.com/lol/kalista/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Kalista,kalista,BOTTOM,bottom,win_rate_counter,4,Senna,senna,55.44,597,,44.56,-4.29,-4.06,1.68,178
lolalytics,16.9,https://lolalytics.com/lol/kalista/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Kalista,kalista,BOTTOM,bottom,win_rate_counter,5,Ziggs,ziggs,54.76,252,,45.24,-1.92,-1.7,0.71,178
lolalytics,16.9,https://lolalytics.com/lol/karma/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Karma,karma,UTILITY,support,win_rate_counter,1,Sona,sona,53.85,5190,,46.15,-1.03,-2.41,1.99,1306
lolalytics,16.9,https://lolalytics.com/lol/karma/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Karma,karma,UTILITY,support,win_rate_counter,2,Rakan,rakan,52.64,4301,,47.36,-1.87,-3.25,1.65,1306
lolalytics,16.9,https://lolalytics.com/lol/karma/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Karma,karma,UTILITY,support,win_rate_counter,3,Rell,rell,52.5,4103,,47.5,-0.25,-1.63,1.57,1306
lolalytics,16.9,https://lolalytics.com/lol/karma/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Karma,karma,UTILITY,support,win_rate_counter,4,Blitzcrank,blitzcrank,52.01,6714,,47.99,-0.61,-1.99,2.57,1306
lolalytics,16.9,https://lolalytics.com/lol/karma/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Karma,karma,UTILITY,support,win_rate_counter,5,Nautilus,nautilus,51.97,14076,,48.03,-1.83,-3.21,5.39,1306
lolalytics,16.9,https://lolalytics.com/lol/karthus/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Karthus,karthus,JUNGLE,jungle,win_rate_counter,1,DrMundo,drmundo,57.74,239,,42.26,-9.19,-10.19,0.57,208
lolalytics,16.9,https://lolalytics.com/lol/karthus/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Karthus,karthus,JUNGLE,jungle,win_rate_counter,2,Udyr,udyr,57.71,480,,42.29,-6.0,-7.0,1.15,208
