match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8198618067,100,v1_15min_16_9_only,False,420,16.9.772.1032,2201,2026-06-07T21:17:16+00:00,3458,9,0,0,0,4,0.6,-1,0,4,-3
KR_8198618067,200,v1_15min_16_9_only,False,420,16.9.772.1032,2201,2026-06-07T21:17:16+00:00,-3458,-9,0,0,0,-4,-0.6,1,0,-4,3
KR_8198527724,100,v1_15min_16_9_only,False,420,16.9.772.1032,1884,2026-06-07T21:17:16+00:00,-1218,-3,-1,-1,0,-26,-0.4,-1,-1,4,-2
KR_8198527724,200,v1_15min_16_9_only,False,420,16.9.772.1032,1884,2026-06-07T21:17:16+00:00,1218,3,1,1,0,26,0.4,1,1,-4,2
KR_8198450524,100,v1_15min_16_9_only,False,420,16.9.772.1032,2133,2026-06-07T21:17:16+00:00,-3144,-3,-1,-2,0,-70,-0.6,-1,-1,-4,1
KR_8198450524,200,v1_15min_16_9_only,False,420,16.9.772.1032,2133,2026-06-07T21:17:16+00:00,3144,3,1,2,0,70,0.6,1,1,4,-1
KR_8198338779,100,v1_15min_16_9_only,False,420,16.9.772.1032,1985,2026-06-07T21:17:16+00:00,1758,1,0,-1,0,28,0.4,-1,0,-3,3
KR_8198338779,200,v1_15min_16_9_only,False,420,16.9.772.1032,1985,2026-06-07T21:17:16+00:00,-1758,-1,0,1,0,-28,-0.4,1,0,3,-3
KR_8198282444,100,v1_15min_16_9_only,False,420,16.9.772.1032,1575,2026-06-07T21:17:16+00:00,2019,5,0,0,0,16,0.4,-1,0,3,-5
KR_8198282444,200,v1_15min_16_9_only,False,420,16.9.772.1032,1575,2026-06-07T21:17:16+00:00,-2019,-5,0,0,0,-16,-0.4,1,0,-3,5
KR_8198231551,100,v1_15min_16_9_only,False,420,16.9.772.1032,1571,2026-06-07T21:17:16+00:00,1288,3,0,1,0,-33,0.2,1,-1,16,4
KR_8198231551,200,v1_15min_16_9_only,True,420,16.9.772.1032,1571,2026-06-07T21:17:16+00:00,-1288,-3,0,-1,0,33,-0.2,-1,1,-16,-4
