patch,champion_id,champion_name,position,game_length_bucket,bucket_min_sec,bucket_max_sec,feature_version,games,wins,win_rate,created_at
16.9,266,Aatrox,TOP,15-20,900,1200,lolalytics_emerald_plus_global_16_9,15266,8037,52.6464,2026-06-08T02:15:27.521332+00:00
16.9,266,Aatrox,TOP,20-25,1200,1500,lolalytics_emerald_plus_global_16_9,24097,12140,50.3797,2026-06-08T02:15:27.521332+00:00
16.9,266,Aatrox,TOP,25-30,1500,1800,lolalytics_emerald_plus_global_16_9,50817,25651,50.4772,2026-06-08T02:15:27.521332+00:00
16.9,266,Aatrox,TOP,30-35,1800,2100,lolalytics_emerald_plus_global_16_9,42789,21249,49.66,2026-06-08T02:15:27.521332+00:00
16.9,266,Aatrox,TOP,35-40,2100,2400,lolalytics_emerald_plus_global_16_9,19324,9600,49.6792,2026-06-08T02:15:27.521332+00:00
16.9,266,Aatrox,TOP,40+,2400,,lolalytics_emerald_plus_global_16_9,7367,3774,51.2285,2026-06-08T02:15:27.521332+00:00
16.9,103,Ahri,MIDDLE,15-20,900,1200,lolalytics_emerald_plus_global_16_9,23073,11410,49.4517,2026-06-08T02:15:27.521332+00:00
16.9,103,Ahri,MIDDLE,20-25,1200,1500,lolalytics_emerald_plus_global_16_9,40143,20888,52.034,2026-06-08T02:15:27.521332+00:00
16.9,103,Ahri,MIDDLE,25-30,1500,1800,lolalytics_emerald_plus_global_16_9,86738,45555,52.5202,2026-06-08T02:15:27.521332+00:00
16.9,103,Ahri,MIDDLE,30-35,1800,2100,lolalytics_emerald_plus_global_16_9,74792,38433,51.3865,2026-06-08T02:15:27.521332+00:00
16.9,103,Ahri,MIDDLE,35-40,2100,2400,lolalytics_emerald_plus_global_16_9,33372,17167,51.4413,2026-06-08T02:15:27.521332+00:00
16.9,103,Ahri,MIDDLE,40+,2400,,lolalytics_emerald_plus_global_16_9,12693,6540,51.5245,2026-06-08T02:15:27.521332+00:00
16.9,84,Akali,MIDDLE,15-20,900,1200,lolalytics_emerald_plus_global_16_9,14818,8351,56.3571,2026-06-08T02:15:27.521332+00:00
16.9,84,Akali,MIDDLE,20-25,1200,1500,lolalytics_emerald_plus_global_16_9,24452,12375,50.6094,2026-06-08T02:15:27.521332+00:00
16.9,84,Akali,MIDDLE,25-30,1500,1800,lolalytics_emerald_plus_global_16_9,53451,26692,49.9373,2026-06-08T02:15:27.521332+00:00
16.9,84,Akali,MIDDLE,30-35,1800,2100,lolalytics_emerald_plus_global_16_9,47324,23561,49.7866,2026-06-08T02:15:27.521332+00:00
