champion_id,champion_name,position,feature_version,pick_count,win_count,surrender_loss_count,position_share,is_primary_position,created_at
68,Rumble,UTILITY,v2_timeseries_7_15_16_9_only,3,1,0,0.026549,False,2026-06-07T21:17:37+00:00
13,Ryze,MIDDLE,v2_timeseries_7_15_16_9_only,138,76,19,0.802326,True,2026-06-07T21:17:37+00:00
13,Ryze,TOP,v2_timeseries_7_15_16_9_only,33,18,7,0.19186,False,2026-06-07T21:17:37+00:00
13,Ryze,UTILITY,v2_timeseries_7_15_16_9_only,1,1,0,0.005814,False,2026-06-07T21:17:37+00:00
360,Samira,BOTTOM,v2_timeseries_7_15_16_9_only,86,41,14,0.988506,True,2026-06-07T21:17:37+00:00
360,Samira,JUNGLE,v2_timeseries_7_15_16_9_only,1,0,1,0.011494,False,2026-06-07T21:17:37+00:00
113,Sejuani,JUNGLE,v2_timeseries_7_15_16_9_only,35,18,2,0.795455,True,2026-06-07T21:17:37+00:00
113,Sejuani,MIDDLE,v2_timeseries_7_15_16_9_only,3,1,1,0.068182,False,2026-06-07T21:17:37+00:00
113,Sejuani,TOP,v2_timeseries_7_15_16_9_only,6,1,1,0.136364,False,2026-06-07T21:17:37+00:00
235,Senna,BOTTOM,v2_timeseries_7_15_16_9_only,58,37,8,0.408451,False,2026-06-07T21:17:37+00:00
235,Senna,TOP,v2_timeseries_7_15_16_9_only,2,1,0,0.014085,False,2026-06-07T21:17:37+00:00
235,Senna,UTILITY,v2_timeseries_7_15_16_9_only,82,40,14,0.577465,True,2026-06-07T21:17:37+00:00
147,Seraphine,BOTTOM,v2_timeseries_7_15_16_9_only,1,1,0,0.003367,False,2026-06-07T21:17:37+00:00
147,Seraphine,MIDDLE,v2_timeseries_7_15_16_9_only,4,3,0,0.013468,False,2026-06-07T21:17:37+00:00
147,Seraphine,UTILITY,v2_timeseries_7_15_16_9_only,292,149,67,0.983165,True,2026-06-07T21:17:37+00:00
875,Sett,MIDDLE,v2_timeseries_7_15_16_9_only,6,5,1,0.058824,False,2026-06-07T21:17:37+00:00
875,Sett,TOP,v2_timeseries_7_15_16_9_only,94,48,18,0.921569,True,2026-06-07T21:17:37+00:00
875,Sett,UTILITY,v2_timeseries_7_15_16_9_only,2,1,0,0.019608,False,2026-06-07T21:17:37+00:00
35,Shaco,JUNGLE,v2_timeseries_7_15_16_9_only,67,24,12,0.62037,True,2026-06-07T21:17:37+00:00
35,Shaco,TOP,v2_timeseries_7_15_16_9_only,2,2,0,0.018519,False,2026-06-07T21:17:37+00:00
35,Shaco,UTILITY,v2_timeseries_7_15_16_9_only,39,21,7,0.361111,False,2026-06-07T21:17:37+00:00
98,Shen,JUNGLE,v2_timeseries_7_15_16_9_only,7,4,2,0.097222,False,2026-06-07T21:17:37+00:00
98,Shen,MIDDLE,v2_timeseries_7_15_16_9_only,1,0,0,0.013889,False,2026-06-07T21:17:37+00:00
98,Shen,TOP,v2_timeseries_7_15_16_9_only,56,27,8,0.777778,True,2026-06-07T21:17:37+00:00
98,Shen,UTILITY,v2_timeseries_7_15_16_9_only,8,3,2,0.111111,False,2026-06-07T21:17:37+00:00
102,Shyvana,JUNGLE,v2_timeseries_7_15_16_9_only,41,17,7,0.836735,True,2026-06-07T21:17:37+00:00
102,Shyvana,MIDDLE,v2_timeseries_7_15_16_9_only,1,0,0,0.020408,False,2026-06-07T21:17:37+00:00
102,Shyvana,TOP,v2_timeseries_7_15_16_9_only,7,3,2,0.142857,False,2026-06-07T21:17:37+00:00
27,Singed,JUNGLE,v2_timeseries_7_15_16_9_only,2,1,0,0.018692,False,2026-06-07T21:17:37+00:00
27,Singed,MIDDLE,v2_timeseries_7_15_16_9_only,5,3,0,0.046729,False,2026-06-07T21:17:37+00:00
27,Singed,TOP,v2_timeseries_7_15_16_9_only,98,52,10,0.915888,True,2026-06-07T21:17:37+00:00
27,Singed,UTILITY,v2_timeseries_7_15_16_9_only,2,1,0,0.018692,False,2026-06-07T21:17:37+00:00
14,Sion,JUNGLE,v2_timeseries_7_15_16_9_only,1,0,0,0.005917,False,2026-06-07T21:17:37+00:00
14,Sion,MIDDLE,v2_timeseries_7_15_16_9_only,26,10,5,0.153846,False,2026-06-07T21:17:37+00:00
14,Sion,TOP,v2_timeseries_7_15_16_9_only,136,72,23,0.804734,True,2026-06-07T21:17:37+00:00
14,Sion,UTILITY,v2_timeseries_7_15_16_9_only,6,5,0,0.035503,False,2026-06-07T21:17:37+00:00
15,Sivir,BOTTOM,v2_timeseries_7_15_16_9_only,128,59,16,0.984615,True,2026-06-07T21:17:37+00:00
15,Sivir,MIDDLE,v2_timeseries_7_15_16_9_only,2,1,1,0.015385,False,2026-06-07T21:17:37+00:00
72,Skarner,JUNGLE,v2_timeseries_7_15_16_9_only,18,5,6,0.315789,False,2026-06-07T21:17:37+00:00
72,Skarner,TOP,v2_timeseries_7_15_16_9_only,6,4,1,0.105263,False,2026-06-07T21:17:37+00:00
72,Skarner,UTILITY,v2_timeseries_7_15_16_9_only,33,17,4,0.578947,True,2026-06-07T21:17:37+00:00
901,Smolder,BOTTOM,v2_timeseries_7_15_16_9_only,317,165,48,0.908309,True,2026-06-07T21:17:37+00:00
901,Smolder,MIDDLE,v2_timeseries_7_15_16_9_only,17,7,4,0.048711,False,2026-06-07T21:17:37+00:00
901,Smolder,TOP,v2_timeseries_7_15_16_9_only,14,4,3,0.040115,False,2026-06-07T21:17:37+00:00
901,Smolder,UTILITY,v2_timeseries_7_15_16_9_only,1,0,0,0.002865,False,2026-06-07T21:17:37+00:00
37,Sona,UTILITY,v2_timeseries_7_15_16_9_only,32,13,7,1.0,True,2026-06-07T21:17:37+00:00
16,Soraka,UTILITY,v2_timeseries_7_15_16_9_only,82,39,17,1.0,True,2026-06-07T21:17:37+00:00
50,Swain,BOTTOM,v2_timeseries_7_15_16_9_only,35,15,11,0.269231,False,2026-06-07T21:17:37+00:00
50,Swain,MIDDLE,v2_timeseries_7_15_16_9_only,21,10,2,0.161538,False,2026-06-07T21:17:37+00:00
50,Swain,TOP,v2_timeseries_7_15_16_9_only,17,8,2,0.130769,False,2026-06-07T21:17:37+00:00
50,Swain,UTILITY,v2_timeseries_7_15_16_9_only,57,29,11,0.438462,True,2026-06-07T21:17:37+00:00
517,Sylas,JUNGLE,v2_timeseries_7_15_16_9_only,223,120,33,0.419173,False,2026-06-07T21:17:37+00:00
517,Sylas,MIDDLE,v2_timeseries_7_15_16_9_only,225,91,40,0.422932,True,2026-06-07T21:17:37+00:00
517,Sylas,TOP,v2_timeseries_7_15_16_9_only,39,24,1,0.073308,False,2026-06-07T21:17:37+00:00
517,Sylas,UTILITY,v2_timeseries_7_15_16_9_only,45,22,7,0.084586,False,2026-06-07T21:17:37+00:00
134,Syndra,MIDDLE,v2_timeseries_7_15_16_9_only,80,42,11,0.909091,True,2026-06-07T21:17:37+00:00
134,Syndra,TOP,v2_timeseries_7_15_16_9_only,5,2,2,0.056818,False,2026-06-07T21:17:37+00:00
134,Syndra,UTILITY,v2_timeseries_7_15_16_9_only,3,1,0,0.034091,False,2026-06-07T21:17:37+00:00
223,TahmKench,TOP,v2_timeseries_7_15_16_9_only,22,12,3,0.328358,False,2026-06-07T21:17:37+00:00
223,TahmKench,UTILITY,v2_timeseries_7_15_16_9_only,45,23,7,0.671642,True,2026-06-07T21:17:37+00:00
163,Taliyah,BOTTOM,v2_timeseries_7_15_16_9_only,1,0,0,0.015385,False,2026-06-07T21:17:37+00:00
163,Taliyah,JUNGLE,v2_timeseries_7_15_16_9_only,36,17,5,0.553846,True,2026-06-07T21:17:37+00:00
163,Taliyah,MIDDLE,v2_timeseries_7_15_16_9_only,27,11,4,0.415385,False,2026-06-07T21:17:37+00:00
163,Taliyah,UTILITY,v2_timeseries_7_15_16_9_only,1,1,0,0.015385,False,2026-06-07T21:17:37+00:00
91,Talon,JUNGLE,v2_timeseries_7_15_16_9_only,96,48,17,0.463768,False,2026-06-07T21:17:37+00:00
91,Talon,MIDDLE,v2_timeseries_7_15_16_9_only,107,66,18,0.516908,True,2026-06-07T21:17:37+00:00
91,Talon,TOP,v2_timeseries_7_15_16_9_only,3,3,0,0.014493,False,2026-06-07T21:17:37+00:00
91,Talon,UTILITY,v2_timeseries_7_15_16_9_only,1,1,0,0.004831,False,2026-06-07T21:17:37+00:00
44,Taric,UTILITY,v2_timeseries_7_15_16_9_only,15,9,2,1.0,True,2026-06-07T21:17:37+00:00
17,Teemo,BOTTOM,v2_timeseries_7_15_16_9_only,3,0,1,0.023622,False,2026-06-07T21:17:37+00:00
17,Teemo,JUNGLE,v2_timeseries_7_15_16_9_only,6,3,1,0.047244,False,2026-06-07T21:17:37+00:00
17,Teemo,MIDDLE,v2_timeseries_7_15_16_9_only,4,2,0,0.031496,False,2026-06-07T21:17:37+00:00
17,Teemo,TOP,v2_timeseries_7_15_16_9_only,108,49,16,0.850394,True,2026-06-07T21:17:37+00:00
17,Teemo,UTILITY,v2_timeseries_7_15_16_9_only,6,4,0,0.047244,False,2026-06-07T21:17:37+00:00
412,Thresh,UTILITY,v2_timeseries_7_15_16_9_only,314,159,33,1.0,True,2026-06-07T21:17:37+00:00
18,Tristana,BOTTOM,v2_timeseries_7_15_16_9_only,66,36,6,0.825,True,2026-06-07T21:17:37+00:00
18,Tristana,MIDDLE,v2_timeseries_7_15_16_9_only,13,5,1,0.1625,False,2026-06-07T21:17:37+00:00
18,Tristana,TOP,v2_timeseries_7_15_16_9_only,1,1,0,0.0125,False,2026-06-07T21:17:37+00:00
48,Trundle,JUNGLE,v2_timeseries_7_15_16_9_only,9,3,0,0.290323,False,2026-06-07T21:17:37+00:00
48,Trundle,TOP,v2_timeseries_7_15_16_9_only,17,6,2,0.548387,True,2026-06-07T21:17:37+00:00
48,Trundle,UTILITY,v2_timeseries_7_15_16_9_only,5,1,3,0.16129,False,2026-06-07T21:17:37+00:00
23,Tryndamere,JUNGLE,v2_timeseries_7_15_16_9_only,2,0,0,0.04878,False,2026-06-07T21:17:37+00:00
23,Tryndamere,MIDDLE,v2_timeseries_7_15_16_9_only,4,0,0,0.097561,False,2026-06-07T21:17:37+00:00
23,Tryndamere,TOP,v2_timeseries_7_15_16_9_only,35,14,7,0.853659,True,2026-06-07T21:17:37+00:00
4,TwistedFate,BOTTOM,v2_timeseries_7_15_16_9_only,1,0,1,0.004566,False,2026-06-07T21:17:37+00:00
4,TwistedFate,MIDDLE,v2_timeseries_7_15_16_9_only,187,100,28,0.853881,True,2026-06-07T21:17:37+00:00
4,TwistedFate,TOP,v2_timeseries_7_15_16_9_only,27,12,5,0.123288,False,2026-06-07T21:17:37+00:00
4,TwistedFate,UTILITY,v2_timeseries_7_15_16_9_only,4,1,0,0.018265,False,2026-06-07T21:17:37+00:00
